week,boatname,boatlength,extrarequest,skipperpno,skippername,skipperaddress,crewpno,crewname,crewaddress
1,Abigail,18,Champagne,236,Chee Waller,cw1@rice.co.de,598,Paula Davidson,pd1@mcdougal.com
1,Abigail,18,Hot water bottles,236,Chee Waller,cw1@rice.co.de,598,Paula Davidson,pd1@mcdougal.com
1,Estella,20,Champagne,481,Yeo Drever,yd1@daymond.com,138,Susan Shaw,ss1@connolly.co.de
1,Estella,20,Gin + Tonic,481,Yeo Drever,yd1@daymond.com,138,Susan Shaw,ss1@connolly.co.de
1,Estella,20,Champagne,481,Yeo Drever,yd1@daymond.com,378,Ian Cogan,ic1@bettis.com
1,Estella,20,Gin + Tonic,481,Yeo Drever,yd1@daymond.com,378,Ian Cogan,ic1@bettis.com
1,Heather,22,Flowers,427,Morag Cattermole,mc1@mcdonald.co.nl,463,Charles Shah,cs1@sharp.com
1,Heather,22,Mineral water,427,Morag Cattermole,mc1@mcdonald.co.nl,463,Charles Shah,cs1@sharp.com
1,Heather,22,Flowers,427,Morag Cattermole,mc1@mcdonald.co.nl,242,Jeannine McDowall,jm1@sturgeon.co.uk
1,Heather,22,Mineral water,427,Morag Cattermole,mc1@mcdonald.co.nl,242,Jeannine McDowall,jm1@sturgeon.co.uk
1,Heather,22,Flowers,427,Morag Cattermole,mc1@mcdonald.co.nl,360,Roslyn Owen,ro1@ford.com
1,Heather,22,Mineral water,427,Morag Cattermole,mc1@mcdonald.co.nl,360,Roslyn Owen,ro1@ford.com
2,Caroline,19,Gin + Tonic,548,Steven Harpur,sh1@deans.co.uk,541,Raymond Williamson,rw1@clark.co.de
2,Caroline,19,Hot water bottles,548,Steven Harpur,sh1@deans.co.uk,541,Raymond Williamson,rw1@clark.co.de
2,Caroline,19,Gin + Tonic,548,Steven Harpur,sh1@deans.co.uk,328,Lesley Walsh,lw1@jones.org
2,Caroline,19,Hot water bottles,548,Steven Harpur,sh1@deans.co.uk,328,Lesley Walsh,lw1@jones.org
2,Estella,20,(no extras),24,Eileen Lam,el1@coyle.org,186,Margaret Montgomery,mm1@mungall.co.fr
2,Estella,20,(no extras),24,Eileen Lam,el1@coyle.org,254,Sarah Sinclair,ss1@fraser.co.de
2,Gail,25,(no extras),250,Stephanie Corrales,sc1@reid.com,225,Sheena Noddings,sn1@mcbride.com
2,Gail,25,(no extras),250,Stephanie Corrales,sc1@reid.com,555,Patricia Thomson,pt1@khan.org
2,Gail,25,(no extras),250,Stephanie Corrales,sc1@reid.com,187,Karen Crombie,kc1@shanks.co.nl
2,Gail,25,(no extras),250,Stephanie Corrales,sc1@reid.com,248,Catherine McQuillan,cm1@ford.com
2,Kirsty,25,(no extras),367,Seyed Barclay,sb1@mcbride.com,107,Maurice Cumming,mc1@deans.co.uk
2,Kirsty,25,(no extras),367,Seyed Barclay,sb1@mcbride.com,402,Yvonne Besse,yb1@daymond.com
2,Kirsty,25,(no extras),367,Seyed Barclay,sb1@mcbride.com,437,Anne Dietz,ad1@fraser.co.de
2,Kirsty,25,(no extras),367,Seyed Barclay,sb1@mcbride.com,482,Julio McKenna,jm1@murrie.com
3,Abigail,18,Chocolates,414,Alan Ramsay,ar1@duckworth.org,301,Susan Renwick,sr1@inman.co.nl
3,Deirdre,17,Chocolates,217,Lorna Binnie,lb1@rice.co.de,39,David Lulanga,dl1@little.co.nl
3,Deirdre,17,Gin + Tonic,217,Lorna Binnie,lb1@rice.co.de,39,David Lulanga,dl1@little.co.nl
3,Heather,22,Chocolates,551,Christopher Ponniah,cp1@liao.co.fr,396,Fiona Pinn,fp1@hendry.co.nl
3,Heather,22,Chocolates,551,Christopher Ponniah,cp1@liao.co.fr,475,Kay Neale,kn1@mungall.co.fr
3,Heather,22,Chocolates,551,Christopher Ponniah,cp1@liao.co.fr,594,Hussam Rodgers,hr1@heyes.org
3,Janet,17,Gin + Tonic,335,Priscilla Watkins,pw1@campbell.co.de,281,Kathleen Green,kg1@morrison.co.uk
3,Kirsty,25,Hot water bottles,133,Andrew Wright,aw1@montgomery.org,517,Lisette Murphy,lm1@heyes.org
3,Kirsty,25,Hot water bottles,133,Andrew Wright,aw1@montgomery.org,501,Alastair Young,ay1@khan.org
3,Kirsty,25,Hot water bottles,133,Andrew Wright,aw1@montgomery.org,96,Chadag Hood,ch1@trick.co.nl
3,Kirsty,25,Hot water bottles,133,Andrew Wright,aw1@montgomery.org,16,Lorna Pollock,lp1@mcdougal.com
4,Abigail,18,(no extras),306,Asiah Campbell,ac1@robertson.co.fr,134,Jane MacKay,jm1@little.co.nl
4,Beatrix,25,(no extras),487,David Roxburgh,dr1@myles.org,469,Karl Othman,ko1@jahoda.co.nl
4,Beatrix,25,(no extras),487,David Roxburgh,dr1@myles.org,13,Klaus McCaughie,km1@christodoulou.com
4,Beatrix,25,(no extras),487,David Roxburgh,dr1@myles.org,557,Damon Gordon,dg1@sigurdardottir.co.uk
4,Beatrix,25,(no extras),487,David Roxburgh,dr1@myles.org,107,Maurice Cumming,mc1@deans.co.uk
4,Caroline,19,(no extras),38,Cornelius Honore,ch1@anderson.co.de,166,Fotini Lau,fl1@orton.co.uk
4,Caroline,19,(no extras),38,Cornelius Honore,ch1@anderson.co.de,355,Susan Fallon,sf1@japp.co.uk
4,Deirdre,17,Hot water bottles,173,Graham Syme,gs1@orton.co.uk,150,Kathleen Stimson,ks1@mckellar.com
4,Fiona,16,(no extras),357,Claire Meikle,cm1@monks.org,597,Sandra McCaskill,sm1@orton.co.uk
4,Gail,25,Champagne,227,Elizabeth Reaney,er1@duckworth.org,66,Anthony Tuck,at1@trick.co.nl
4,Gail,25,Hot water bottles,227,Elizabeth Reaney,er1@duckworth.org,66,Anthony Tuck,at1@trick.co.nl
4,Gail,25,Champagne,227,Elizabeth Reaney,er1@duckworth.org,377,Nigel Paton,np1@fanutti.co.de
4,Gail,25,Hot water bottles,227,Elizabeth Reaney,er1@duckworth.org,377,Nigel Paton,np1@fanutti.co.de
4,Gail,25,Champagne,227,Elizabeth Reaney,er1@duckworth.org,99,Alicia Richley,ar1@ford.com
4,Gail,25,Hot water bottles,227,Elizabeth Reaney,er1@duckworth.org,99,Alicia Richley,ar1@ford.com
4,Gail,25,Champagne,227,Elizabeth Reaney,er1@duckworth.org,198,Simon Kalligeros,sk1@mbweza.org
4,Gail,25,Hot water bottles,227,Elizabeth Reaney,er1@duckworth.org,198,Simon Kalligeros,sk1@mbweza.org
4,Kirsty,25,Mineral water,589,Alison Erard,ae1@monks.org,118,Zaki Sawyer,zs1@dods.com
4,Kirsty,25,Mineral water,589,Alison Erard,ae1@monks.org,401,Patrick Sharp,ps1@mckellar.com
4,Kirsty,25,Mineral water,589,Alison Erard,ae1@monks.org,461,Karen Yung,ky1@hughes.co.uk
4,Kirsty,25,Mineral water,589,Alison Erard,ae1@monks.org,277,Paul Gronbach,pg1@coyle.org
4,Mhairi,20,(no extras),406,Jorge Jones,jj1@harris.org,540,Soh Shaw,ss1@lothian.co.uk
4,Mhairi,20,(no extras),406,Jorge Jones,jj1@harris.org,412,Lee Stewart,ls1@ward.co.nl
5,Abigail,18,(no extras),555,Patricia Thomson,pt1@khan.org,222,Michele Kpina,mk1@smith.co.uk
5,Beatrix,25,(no extras),328,Lesley Walsh,lw1@jones.org,23,William Moffat,wm1@murrie.com
5,Beatrix,25,(no extras),328,Lesley Walsh,lw1@jones.org,506,James Breau,jb1@french.co.nl
5,Beatrix,25,(no extras),328,Lesley Walsh,lw1@jones.org,291,Mary Lim,ml1@reid.com
5,Beatrix,25,(no extras),328,Lesley Walsh,lw1@jones.org,348,Teh Hakami,th1@sigurdardottir.co.uk
5,Caroline,19,Flowers,395,Therese Gray,tg1@coyle.org,228,Alison Brown,ab1@ast.co.uk
5,Caroline,19,Chocolates,395,Therese Gray,tg1@coyle.org,228,Alison Brown,ab1@ast.co.uk
5,Caroline,19,Rum,395,Therese Gray,tg1@coyle.org,228,Alison Brown,ab1@ast.co.uk
5,Caroline,19,Flowers,395,Therese Gray,tg1@coyle.org,297,Fiona Russell,fr1@anderson.co.de
5,Caroline,19,Chocolates,395,Therese Gray,tg1@coyle.org,297,Fiona Russell,fr1@anderson.co.de
5,Caroline,19,Rum,395,Therese Gray,tg1@coyle.org,297,Fiona Russell,fr1@anderson.co.de
5,Deirdre,17,(no extras),446,Christopher McIlree,cm1@deans.co.uk,598,Paula Davidson,pd1@mcdougal.com
5,Estella,20,(no extras),53,Ong McDonald,om1@bliss.co.uk,433,Donald McDonald,dm1@lewis.com
5,Estella,20,(no extras),53,Ong McDonald,om1@bliss.co.uk,584,Richard Wilson,rw1@trail.co.de
5,Fiona,16,Rum,586,Gary Fitzsimons,gf1@valencia.org,502,Peter Jackson,pj1@trick.co.nl
5,Gail,25,(no extras),393,Heather Rotru,hr1@gannon.co.uk,120,Marlie Import,mi1@laverty.co.nl
5,Gail,25,(no extras),393,Heather Rotru,hr1@gannon.co.uk,119,Susan Archibald,sa1@mcphee.co.uk
5,Gail,25,(no extras),393,Heather Rotru,hr1@gannon.co.uk,48,Allan Broadfoot,ab1@taylor.co.de
5,Gail,25,(no extras),393,Heather Rotru,hr1@gannon.co.uk,445,Christopher Tueje,ct1@gannon.co.uk
5,Heather,22,Champagne,61,Hugh Mesher,hm1@mckellar.com,160,Jonathan Morton,jm1@smith.org
5,Heather,22,Gin + Tonic,61,Hugh Mesher,hm1@mckellar.com,160,Jonathan Morton,jm1@smith.org
5,Heather,22,Champagne,61,Hugh Mesher,hm1@mckellar.com,416,Keith Pimstone,kp1@stewart.org
5,Heather,22,Gin + Tonic,61,Hugh Mesher,hm1@mckellar.com,416,Keith Pimstone,kp1@stewart.org
5,Heather,22,Champagne,61,Hugh Mesher,hm1@mckellar.com,406,Jorge Jones,jj1@harris.org
5,Heather,22,Gin + Tonic,61,Hugh Mesher,hm1@mckellar.com,406,Jorge Jones,jj1@harris.org
5,Janet,17,Chocolates,318,Mark MacLennan,mm1@mcaleese.org,262,Hugh Hope,hh1@barnett.co.uk
5,Kirsty,25,(no extras),386,Colin Shaw,cs1@barnett.co.uk,158,Sarah Walker,sw1@mok.co.uk
5,Kirsty,25,(no extras),386,Colin Shaw,cs1@barnett.co.uk,331,Margaret Howell,mh1@maclellan.co.uk
5,Kirsty,25,(no extras),386,Colin Shaw,cs1@barnett.co.uk,164,Stephen Pivac,sp1@shaw.co.uk
5,Kirsty,25,(no extras),386,Colin Shaw,cs1@barnett.co.uk,476,Helen Farrar,hf1@brown.co.nl
5,Mhairi,20,Hot water bottles,337,Penelope Johnson,pj1@smith.co.fr,526,Caroline Kendall,ck1@hughes.co.uk
5,Mhairi,20,Hot water bottles,337,Penelope Johnson,pj1@smith.co.fr,487,David Roxburgh,dr1@myles.org
6,Abigail,18,(no extras),324,Lindsay Cumming,lc2@downie.org,536,Judith Slinger,js1@mitchell.co.uk
6,Beatrix,25,Gin + Tonic,301,Susan Renwick,sr1@inman.co.nl,203,Sandra Downie,sd1@sharp.com
6,Beatrix,25,Gin + Tonic,301,Susan Renwick,sr1@inman.co.nl,599,Patricia Sinclair,ps1@bliss.co.uk
6,Beatrix,25,Gin + Tonic,301,Susan Renwick,sr1@inman.co.nl,208,Yvonne Jawnyj,yj1@orton.co.uk
6,Beatrix,25,Gin + Tonic,301,Susan Renwick,sr1@inman.co.nl,323,Julia Sutherland,js1@sigurdardottir.co.uk
6,Caroline,19,(no extras),554,Claire Montgomery,cm1@ogunbadejo.co.uk,283,Evan Jacobs,ej1@monks.org
6,Caroline,19,(no extras),554,Claire Montgomery,cm1@ogunbadejo.co.uk,153,Atle Kellett,ak1@harris.org
6,Deirdre,17,Flowers,435,Lyn Manson,lm1@mok.co.uk,562,Anthony Sood,as1@sneddon.com
6,Estella,20,(no extras),568,Helen Vuuren,hv1@heyes.org,331,Margaret Howell,mh1@maclellan.co.uk
6,Estella,20,(no extras),568,Helen Vuuren,hv1@heyes.org,473,Louise Fieldsend,lf1@lyons.co.nl
6,Fiona,16,(no extras),456,Richard Edwards,re1@lewis.com,480,Sylvia Stewart,ss1@murdoch.co.de
6,Gail,25,(no extras),258,May Raymond,mr1@dods.com,327,Sandra Noblett,sn1@pryde.co.de
6,Gail,25,(no extras),258,May Raymond,mr1@dods.com,79,Kristinn Black,kb1@murray.co.uk
6,Gail,25,(no extras),258,May Raymond,mr1@dods.com,378,Ian Cogan,ic1@bettis.com
6,Gail,25,(no extras),258,May Raymond,mr1@dods.com,190,Michael Roberts,mr1@french.co.nl
6,Heather,22,Mineral water,479,Rhona Findlay,rf1@scott.co.uk,26,Simon Telfer,st1@hendry.co.nl
6,Heather,22,Mineral water,479,Rhona Findlay,rf1@scott.co.uk,591,Avnish Chambers,ac1@coyle.org
6,Heather,22,Mineral water,479,Rhona Findlay,rf1@scott.co.uk,471,Antony Hanlon,ah1@ford.com
